2020-11-12 15:55:19.037 - INFO - 73347 - azureml.train.automl.automlconfig._start_execution:217 - No compute target or run config provided. Running local legacy run.
2020-11-12 15:55:19.039 - INFO - 73347 - azureml.train.automl.automlconfig._start_execution:257 - Submitting local legacy run.
2020-11-12 15:55:19.039 - INFO - 73347 - azureml.automl.core.package_utilities._log_activity:46 - ActivityStarted: PackagesCheck
2020-11-12 15:55:19.039 - INFO - 73347 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-dataprep-rslex, Version: 1.2.2 found.
2020-11-12 15:55:19.040 - INFO - 73347 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: cloudpickle, Version: 1.6.0 found.
2020-11-12 15:55:19.040 - INFO - 73347 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-dataprep-native, Version: 24.0.0 found.
2020-11-12 15:55:19.040 - INFO - 73347 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: dotnetcore2, Version: 2.1.17 found.
2020-11-12 15:55:19.040 - INFO - 73347 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azure-identity, Version: 1.4.1 found.
2020-11-12 15:55:19.041 - INFO - 73347 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-core, Version: 1.17.0 found.
2020-11-12 15:55:19.042 - INFO - 73347 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-telemetry, Version: 1.17.0 found.
2020-11-12 15:55:19.054 - INFO - 73347 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-train-restclients-hyperdrive, Version: 1.17.0 found.
2020-11-12 15:55:19.057 - INFO - 73347 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: ipywidgets, Version: 7.5.1 found.
2020-11-12 15:55:19.057 - INFO - 73347 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-core, Version: 1.17.0 found.
2020-11-12 15:55:19.057 - INFO - 73347 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-telemetry, Version: 1.17.0 found.
2020-11-12 15:55:19.058 - INFO - 73347 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-core, Version: 1.17.0 found.
2020-11-12 15:55:19.059 - INFO - 73347 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: applicationinsights, Version: 0.11.9 found.
2020-11-12 15:55:19.072 - INFO - 73347 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-automl-core, Version: 1.17.0 found.
2020-11-12 15:55:19.072 - INFO - 73347 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: pmdarima, Version: 1.1.1 found.
2020-11-12 15:55:19.072 - INFO - 73347 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: onnxruntime, Version: 1.3.0 found.
2020-11-12 15:55:19.073 - INFO - 73347 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-dataset-runtime, Version: 1.17.0 found.
